id,target,comment,label,language,dataset,transformation
128184,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,"La propriété privée du logement donne une assurance que la location ne donne pas. Dans ce sens il faut toutefois privilégier l'accession à la propriété privée du logement dans des habitats groupés privilégiant l'efficacité énergétique, les énergies renouvelables et la biodiversité.",FAVOR,fr,X-Stance," La propriété privée du logement ne donne pas d'assurance que la location ne donne pas déjà. Dans ce sens il faut privilégier la location dans des habitats groupés privilégiant l'efficacité énergétique, les énergies renouvelables et la biodiversité. "
114732,"Le droit pénal des mineurs doit-il, à l'avenir, mettre plus de poids sur l'attribution de peines de détention plus longues dans des établissement fermés plutôt que sur des mesures de resocialisation?",Ces 2 éléments doivent être combinés en fonction des cas particuliers. Toutefois la détention doit rester une vraie alternative lorsque cela est nécessaire.,FAVOR,fr,X-Stance,"Ces 2 éléments doivent être combinés en fonction des cas particuliers. Toutefois, la resocialisation doit rester une vraie alternative lorsque cela est nécessaire."
143552,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,Je ne suis pas en faveur d'un décalage entre la majorité civile et la majorité politique.,AGAINST,fr,X-Stance, Je suis en faveur d'un décalage entre la majorité civile et la majorité politique. 
76160,Est-il nécessaire de fermer davantage d’hôpitaux en Suisse pour réduire les coûts de la santé?,La réduction des coûts de santé doit passer par une meilleure hygiène de vie chez certains groupes de personnes.,AGAINST,fr,X-Stance,La réduction des coûts de santé ne peut pas passer uniquement par une meilleure hygiène de vie chez certains groupes de personnes.
121800,Le Conseil fédéral veut introduire des réglementations renforcées  (par ex. prescriptions relatives aux fonds propres) outrepassant les directives internationales courantes concernant le fonctionnement des grandes banques (problématique du too big to fail). Soutenez-vous cela?,"En revanche, la Confédération ne devrait pas intervenir pour sauver des entreprises au bord de la faillite.",AGAINST,fr,X-Stance,la Confédération devrait intervenir pour sauver des entreprises au bord de la faillite.
17883,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,Si les banques sont relativement sûre pourquoi pas un système de vote. C'est une question de volonté.,FAVOR,fr,X-Stance," Si les banques sont vulnérables, pourquoi pas un système de vote. Ce n'est pas qu'une question de volonté. "
89092,Êtes-vous favorable à l’adaptation des directives de l’aide sociale qui prévoit une réduction des prestations pour les familles nombreuses et les jeunes adultes?,"Réduire les prestations en cours de route, pour les familles qui ont déjà plusieurs enfants, ne me paraît pas correct. Si les règles doivent être durcies, qu'elles le soient pour les familles à venir. 
Concernant la prise en charge des jeunes, il faut valoriser le fait d'avoir un travail : c'est une condition indispensable pour trouver sa place dans la société et être un citoyen libre et responsable.",AGAINST,fr,X-Stance,"Réduire les prestations en cours de route, pour les familles qui ont déjà plusieurs enfants, me paraît correct. Si les règles doivent être durcies, qu'elles le soient aussi pour les familles actuelles. Concernant la prise en charge des jeunes, il faut valoriser le fait d'avoir un travail : c'est une condition indispensable pour trouver sa place dans la société et être un citoyen libre et responsable."
36646,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,Cette idée est bonne. Mais je veux connaître les mesures que la Confédération pourrait prendre avant de la soutenir.,AGAINST,fr,X-Stance, Cette idée est bonne. Je n'ai pas besoin de connaître les mesures que la Confédération pourrait prendre avant de la soutenir. 
75428,"À votre avis, l’application rigoureuse de l’initiative sur l’immigration de masse doit-elle avoir la priorité sur le maintien des accords bilatéraux conclus avec l’UE?",Cette initiative est un réaction émotionnelle basée sur des sentiments non-fondés afin d'en cacher le racisme intrinsèque d'une telle démarche.,AGAINST,fr,X-Stance," Cette initiative est un réaction émotionnelle basée sur des sentiments fondés, il n'ya pas de racisme intrinsèque à une telle démarche. "
81270,Une deuxième langue nationale devrait-elle être enseignée à l’école primaire dans tous les cantons?,"La capacité à communiquer avec nos concitoyens est le ciment de notre société et doit être encourager. 

C'est une richesse culturelle qu'il faut soutenir.",FAVOR,fr,X-Stance,La capacité à communiquer avec nos concitoyens n’est pas le ciment de notre société et ne doit pas être encourager. Ce n’est pas une richesse culturelle qu’il faut soutenir.
